TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.151318,1.46445,0.409447,0.524746,0.667615,0.647119,0.858255,0.183607,0.747135,1.1713,0.361003,0.17788
0.046439909,0.147434,1.49301,0.557723,0.587316,0.643064,0.653716,0.846531,0.0816048,0.668566,1.14449,0.381075,0.26653
0.092879819,0.137604,1.54512,0.734004,0.616032,0.723659,0.795996,0.839549,0.0044375,0.558808,0.974125,0.136087,0.355087
0.139319728,0.125284,1.624,0.849149,0.625928,0.744822,0.847784,0.833855,0.00541468,0.530479,0.929164,0.0267538,0.461763
0.185759637,0.20144,1.84578,1.01736,0.681499,0.488079,0.588582,0.746822,0.0716395,0.311212,0.791044,0.149025,0.720893
0.232199546,0.121394,0.883218,1.71942,0.430555,0.394523,0.955489,1.22296,0.485058,0.27319,1.07688,1.49297,0.576697
0.278639456,0,0.900123,1.36753,1.3025,0.550619,0.849697,1.14408,1.19013,0.0482088,0.660614,0.938019,0
0.325079365,0,1.07594,1.3537,1.13474,0.641737,0.946696,1.04168,1.03337,0.299347,0.455596,0.872927,0.0183359
0.371519274,2.6252e-05,1.29799,1.48041,1.34204,0.602079,0.969553,1.06272,0.896228,0,0.396839,0.903112,0.0847055
0.417959184,0.000236894,1.34382,1.53253,1.27899,0.558009,0.919316,1.02425,0.74674,0,0.349053,0.981199,0.114938
0.464399093,0,1.36092,1.53959,1.23772,0.65046,0.916818,1.00537,0.70921,0,0.305778,1.01246,0.0527928
0.510839002,0,1.40346,1.5862,1.1899,0.645129,0.897527,0.937694,0.59995,0.0027848,0.24669,1.0329,0.0461958
0.557278912,0,1.38514,1.62291,1.06779,0.212494,0.720571,0.754016,0.508411,0.222568,0.0852091,1.08316,0.347459
0.603718821,1.08022,1.19184,1.36402,0.272553,0.103243,0.756409,0.15095,0.111035,0.773836,0.385702,0.401477,0.669883
0.650158730,0.0633399,0.960438,1.62795,0.698215,0.68535,0.636202,0.877646,0.994862,0.525663,0.57549,1.54478,0.13295
0.696598639,0,0.904698,1.39566,1.30875,0.383224,0.830781,1.02246,1.07537,0.147635,0.691554,0.913009,0.133265
0.743038549,0.000164479,1.13718,1.4418,1.25275,0.599603,1.03867,1.06047,0.930811,0.149851,0.439312,0.823626,0.124502
0.789478458,0.000301033,1.28609,1.56054,1.30231,0.519361,0.994062,1.01025,0.756997,0.000573821,0.3833,0.916101,0.1898
0.835918367,0.000281281,1.31782,1.59368,1.27386,0.532689,0.973352,0.984682,0.649791,0.00106512,0.341881,0.976227,0.177748
0.882358277,0,1.33433,1.62398,1.2337,0.630388,0.962145,0.962929,0.605441,0.00160201,0.297048,1.00324,0.111454
0.928798186,0,1.40299,1.66172,1.1868,0.576252,0.90766,0.840667,0.532723,0.0158775,0.241405,1.03194,0.123947
0.975238095,0.311019,0.895718,1.81341,0.923209,0.948258,0.756087,0.962787,0.286639,0.0436249,0.466609,0.877148,0
1.021678005,0.0232001,1.20524,1.44323,1.16647,0.757142,0.964779,1.05017,1.00121,0.27145,0.427434,0.909664,0.0374475
1.068117914,0,1.34232,1.46769,1.23939,0.646522,1.03054,0.899102,1.00362,0.029836,0.396572,0.846783,0.188899
1.114557823,0.000112431,1.33576,1.62718,1.26158,0.578197,0.938408,0.966466,0.75146,0,0.325282,0.922721,0.182864
1.160997732,0.000156078,1.34817,1.64909,1.21812,0.580073,0.9605,0.947864,0.653343,0,0.281053,0.973596,0.17563
1.207437642,0,1.37341,1.71425,1.18488,0.621979,0.972163,0.920921,0.57044,0.0138665,0.229991,0.988701,0.140744
1.253877551,0,1.32586,1.74566,1.27649,0.533429,0.79614,0.854046,0.347322,0.129622,0.16328,0.906974,0.224729
1.300317460,0.333281,1.0953,1.52,1.20585,0.916777,0.6919,0.945753,0.969793,0.0257734,0.559702,1.05549,0.021888
1.346757370,0.033578,1.31126,1.42187,1.01566,0.741112,1.01537,0.894912,0.988795,0.37214,0.409343,0.973808,0.134824
1.393197279,0,1.31263,1.43805,1.32642,0.583376,1.03242,0.990466,0.89195,0.00023762,0.369963,0.864951,0.153814
1.439637188,0.000433348,1.37801,1.57335,1.24243,0.475231,1.00501,0.966743,0.671619,0.000211402,0.31276,0.979111,0.209054
1.486077098,4.44709e-07,1.29079,1.47273,1.20439,0.567014,0.977319,1.10704,0.612426,0,0.286729,0.993683,0.141709
1.532517007,0.056552,1.24174,1.08394,1.13806,0.0893287,1.06152,0.962822,0.0561905,0.290063,0.428671,0.793477,0.834898
1.578956916,0.165044,1.05881,0.836914,1.49338,0.524579,1.16763,0.907776,0.360724,0.210965,0.438161,0.273873,0.900835
1.625396825,0.0583244,1.34109,1.11007,1.40437,0.7328,1.34104,0.673269,0.377274,0.0358887,0.267665,0.204938,0.861773
1.671836735,0.033863,1.60039,1.11399,1.16749,0.667854,1.41952,0.642127,0.240592,0.0135214,0.0707002,0.209827,0.914529
1.718276644,0.0366414,1.68141,1.07964,0.681712,0.595281,1.42885,0.525335,0.138203,0,0.0235397,0.256923,1.00929
1.764716553,0.260001,1.1243,0.884034,0.356558,0.192425,0.847335,0.933788,0.170274,0,0.00150115,0.164049,1.99987
1.811156463,0.436234,0.819561,0.431604,0.241977,0,0.413015,1.36399,0.27278,0,0.00325948,0.74911,1.98261
1.857596372,0.454325,0.557051,0.358095,0.859795,0,0.228877,1.68098,0.224754,0,0.00458582,0.851548,1.87397
1.904036281,0.306094,0.0400712,0.796738,1.56779,0.402466,0.309203,1.74906,0.0390978,0.0919379,0.172485,0.877206,1.39214
1.950476190,0.184022,0.407945,0.847865,1.16373,0.761589,1.29805,1.11013,0.227577,0.591309,0.526852,0.501772,0.50962
1.996916100,0.227014,0.911739,1.10499,0.67365,0.903774,1.27369,0.547863,0.338902,0.181199,0.790114,0.0328494,0.440777
2.043356009,0.000213364,0.911839,1.1768,0.610833,0.824324,1.22132,0.774852,0.239689,0.0208063,0.733829,0.18945,0.643435
2.089795918,8.19321e-05,0.720425,1.00875,0.614122,0.801241,1.57329,0.840741,0.223691,0.00848879,0.621515,0.203344,0.703315
2.136235828,0.0905345,0.504517,0.843212,0.703592,0.613993,1.82066,0.555448,0.100477,0.0413259,0.394155,0.110707,1.07676
2.182675737,0.190235,0.236148,0.901891,0.619648,0.664322,1.04818,0.211662,0,0.0408332,0.360311,0.954667,1.40242
2.229115646,0.292221,0.281054,0.432321,0.434086,0.666727,1.12439,0,0,0.0362682,0.403003,1.26696,1.23214
2.275555556,0.464241,0.25397,0.430218,0.237198,0.140232,1.40032,0,0.00701501,0.0360542,0.329395,1.32694,1.29519
2.321995465,0.329425,0.0788074,0.490866,0.506059,0.222316,1.45556,0.0239561,0.00913812,0.13807,0.441738,1.49842,0.864056
2.368435374,0.205196,0.171822,0.872859,0.772562,0.362766,1.94325,0.185905,0.10013,0.153819,0.238325,1.37598,0.389599
2.414875283,0.0433397,0.661251,1.21499,1.01707,0.477107,1.88593,0.27184,0.23513,0.0235042,0.137462,1.68138,0.000340737
2.461315193,1.70612e-05,0.939255,1.24558,0.995014,0.451838,1.80931,0.406642,0.260032,0,0.111934,1.92785,0.000157543
2.507755102,0.0584173,0.877735,1.37805,0.955307,0.418997,1.84182,0.408064,0.22105,0,0.0173262,1.87934,1.65212e-05
2.554195011,0.239658,0.541974,1.2726,1.02889,0.22998,1.3377,0.627171,0.175421,0,0,1.93897,0.0547639
2.600634921,1.16021,0.130132,0.980784,0.98335,0.624537,0.618801,1.49329,0,0.00030192,0.000112905,2.05972,0.0840027
2.647074830,0.50236,0.158905,1.15177,1.46128,0.66113,1.02773,0.924553,0.00777886,0.12,0.0892197,1.82002,0.0595623
2.693514739,0.18756,0.696537,1.06586,1.31607,0.709871,1.54119,0.437105,0.536107,0.106172,0.284438,1.14885,0.115971
2.739954649,0,1.29278,1.21996,1.10738,0.72279,1.28055,0.506839,0.540391,0.0104068,0.299886,0.763873,0.401934
2.786394558,0,1.25623,0.831562,1.01143,0.790314,0.943649,0.908479,0.535465,0.00579941,0.298488,0.670349,0.506399
2.832834467,0.320726,1.00964,0.368228,1.32935,0.704859,1.08017,0.578866,0.322979,0,0.0691019,0.207775,1.09428
2.879274376,0.376343,0.561365,0.325621,1.26144,0.479713,0.881168,0.113371,0.149578,0.0739201,0.00509722,0.11504,1.71102
2.925714286,0.502624,0.536603,0.513158,1.28157,0.653611,0.387361,0.158627,0,0.0653836,0.140322,0.472704,1.78062
2.972154195,0.0579392,0.851495,0.772161,1.53911,0.49508,0.725889,0.0939569,0.165379,0.632146,0.405906,0.702846,0.931501
3.018594104,0,1.18067,0.942132,1.33783,0.515758,0.910985,0.248155,0.631548,0.231416,0.567161,0.8721,0.082958
3.065034014,0.00259543,1.32726,1.12191,1.02758,0.540683,0.934842,0.414095,0.638678,0.225693,0.466368,0.731272,0
3.111473923,0.0722131,1.22747,1.12617,1.16344,0.649017,0.833356,0.679124,0.626292,0.0446729,0.304442,0.48846,0
3.157913832,0.919432,0.769276,1.85536,1.37631,0.0921943,0.82726,0.665145,0,0.263673,0.142849,0.114744,0.409867
3.204353741,0.433855,0.818729,1.77482,1.06659,0.110437,1.6405,0.496732,0.214197,0.0863541,0.0765091,0.297941,0.272782
3.250793651,0.244536,1.09556,1.77151,1.06264,0.347538,1.55694,0.460777,0.359572,0.0878285,0.193427,0.47357,0.170867
3.297233560,0.211918,0.962836,1.61161,1.05832,0.417075,0.817981,0.847034,0.530644,0.0379148,0.202022,1.00233,0.00317044
3.343673469,0.190641,0.752284,1.3636,1.00538,0.326651,0.0848929,1.23522,0.597463,0,0.107675,1.36944,0.238593
3.390113379,0.398836,0.611168,1.10726,0.669521,0.0485173,0.0819477,1.88806,0.146915,0,0.130316,1.13747,1.37165
3.436553288,0.0782245,0.544118,0.907444,0.239087,0.3848,0.138715,1.86555,0.134301,0.0196749,0.0298536,1.2859,1.50258
3.482993197,0.084481,0.565495,0.979561,0.0841164,0.00212365,0.339456,1.14426,0.138178,0.0685365,0.108006,1.72795,1.37385
3.529433107,0,0.445039,0.928524,0.182,0.168906,0.233817,0.362004,0.146636,0.120714,0.256609,1.83209,0.751525
3.575873016,0,0.574582,0.921285,0.970885,0.279484,0.966197,0.348708,0.194736,0.257126,1.04114,1.67792,0.185986
3.622312925,0,0.970722,1.48685,0.841094,0.502862,1.21532,0.65253,0.637757,0.209184,0.993019,1.01752,0.274517
3.668752834,9.44831e-06,0.905604,1.67425,0.689923,0.45626,1.51434,0.844833,0.613471,0.143477,0.662094,0.74779,0.377244
3.715192744,0,0.479763,1.73539,0.56404,0.281596,1.63331,0.853716,0.526909,0,0.77134,0.944281,0.321804
3.761632653,0,0.216779,1.41142,0.694667,0.421706,1.26376,1.02871,0.264963,0,1.05645,1.28043,0.321322
3.808072562,0.0487855,0.303471,1.14791,0.906673,0.713739,0.472176,1.25568,0,0,1.47206,1.21469,0.256233
3.854512472,0.0429865,0.343887,0.873739,1.62118,0.38306,0.611631,0.677121,0.00791875,0.0514272,1.73593,0.56547,0.520175
3.900952381,0.00555871,0.315239,0.5118,1.88103,0.0114151,0.747671,0.0535569,0.0274141,0.308016,1.72971,0.086206,0.782516
3.947392290,0,0.392848,0.549432,1.26696,0.151462,1.20604,0.0435492,0.0485229,0.122279,1.40932,0.244115,0.721122
3.993832200,0.194036,0,0.589193,0.476441,1.00102,0.98277,1.05671,0.0415331,0.183234,0.691803,0.797544,0.114602
4.040272109,0.369115,0.106197,0.678359,0.555983,0.8411,0.831061,1.33061,0.0210754,0.211158,0.894062,0.52907,0
4.086712018,0.63148,0.0806858,0.44949,0.697221,0.714049,0.571836,1.62039,0.0493675,0.59071,1.20627,0.363977,0.00469944
4.133151927,0.776747,0.179034,0.479832,0.745831,0.585809,0.255403,1.91343,0.0401997,0.782224,1.41666,0.23249,0
4.179591837,0.643201,0.449016,0.509408,0.818794,0.633736,0.256191,1.71673,0.0309751,0.752658,1.59663,0.205143,0.0288182
4.226031746,0.532171,0.373649,0.437287,1.03469,1.25845,0.510812,0.775191,0.0281326,0.632808,1.40222,0.292536,0.00149837
4.272471655,0.632914,0.357972,0.84137,1.91978,0.52423,0.485177,0.512458,0.0367658,0.310119,1.18962,0.30339,0.0711675
4.318911565,0.000311751,0.814088,1.30595,1.50806,0.539397,0.812098,0.893458,0.0232241,0.654792,0.72917,0.618666,0.143139
4.365351474,0.0410795,0.873994,1.31481,1.06526,0.57244,0.875078,1.08164,0.047527,0.790901,0.640177,0.623102,0.176713
4.411791383,0.197482,0.908229,1.16136,0.87373,0.455594,0.968955,1.2871,0.132844,0.82332,0.433728,0.575604,0.244092
4.458231293,0.602154,0.530128,0.653666,0.713488,0.284198,1.18347,1.05978,0.230697,0.649294,0.291775,0.54786,0.75849
4.504671202,0.993815,0.181972,0.448686,0.390371,0.170118,1.40254,1.3195,0.095397,0.204659,0.178311,1.11561,1.01033
4.551111111,0.257701,0.14556,0.51719,0.231168,0.455613,1.17115,1.24216,0.160069,0.29539,0.0726334,2.00784,0.987412
4.597551020,0.0875901,0.545597,0.419339,1.09285,0.202172,1.54652,0.675875,0.672473,0.186095,0.284934,1.26619,0.678993
4.643990930,0,1.02669,0.39113,1.04127,0.133906,1.5348,0.717496,1.02224,0.0201217,0.719004,0.892588,0.145146
4.690430839,0,1.02487,0.840853,0.945971,0.076944,1.2661,0.966831,1.03816,0,0.86088,0.70876,0
4.736870748,0,1.15275,1.25583,0.816549,0.0407869,1.00791,0.94089,1.176,0,0.879329,0.582634,0
4.783310658,0.0332615,0.897586,1.33092,1.12374,0.0262383,0.69354,0.881152,0.853487,0.0651674,1.176,0.166036,0.0550971
4.829750567,0.0499695,0.546104,1.36774,1.26046,0.0220922,0.808473,0.549192,0.214289,0.0895917,1.40541,0.222367,0.269746
4.876190476,0.044365,0.54477,1.44483,1.14405,0.22567,0.907117,0.173547,0.110022,0.212419,1.18826,0.485805,0.485936
4.922630385,0.0591372,0.492358,1.20802,1.50213,0.236116,0.97293,0.3602,0.0735444,0.713309,0.852937,0.356464,0.581597
4.969070295,0.185531,0.488999,0.882178,1.68025,0.271648,0.968052,0.526717,0.453872,0.901685,0.475245,0.0614622,0.60451
