TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-455.099,34.6969,4.10946,-0.429341,-1.50148,-1.86162,-1.15223,-0.706544,0.12824,-0.0490923,0.376954,-0.149247,-0.273302,-0.406496,0.20813,-0.00188386,0.912115,-0.465051,0.485447,-0.913759,0.423104
0.023219955,-321.472,50.88,19.6825,16.1155,8.20615,8.78228,3.28699,7.16374,1.94171,4.4592,-0.241141,4.38063,0.280733,2.00613,-1.08595,1.74904,-0.982202,0.169891,-2.00412,0.395989,-1.75144
0.046439909,-421.406,48.3021,36.4927,21.1217,17.4476,13.3159,10.8313,10.4399,4.19943,6.63017,1.69137,-0.312921,0.0271408,1.93144,3.82964,3.80742,-0.21196,-2.56226,1.70662,2.90822,-0.786547
0.069659864,-440.462,43.5911,44.9088,23.473,15.9022,10.9988,11.7543,9.61914,4.32795,7.88841,3.30854,2.74748,3.46065,2.1247,0.831336,2.44004,1.98152,-0.773978,-0.189541,0.639457,-1.94098
0.092879819,-448.998,39.1559,45.5253,26.7458,15.7706,11.7982,11.1726,8.83689,6.19637,7.37218,3.55277,3.721,3.58947,2.76639,0.495358,2.17705,1.46696,0.517082,0.745376,1.48271,-2.22567
0.116099773,-471.088,30.1752,44.9069,29.8627,21.6158,15.1991,10.8277,8.34569,6.29985,6.58779,4.32562,4.3403,2.93509,2.44177,2.10535,2.7395,0.523393,0.9962,0.850635,0.0706496,-1.70604
0.139319728,-476.384,26.2425,41.3974,25.8388,17.4763,13.0289,8.01935,8.04184,5.15991,8.39874,4.93699,2.55038,1.20343,3.60769,2.60849,2.64924,-0.542331,1.24158,0.337428,1.18007,-0.802669
0.162539683,-488.427,7.34791,30.2429,24.4605,19.3484,16.1122,13.3569,10.4762,5.94755,6.55906,4.89308,4.83953,2.2149,4.17607,1.70499,2.45765,-0.470953,1.17858,0.774198,-0.241907,-0.245811
0.185759637,-502.871,8.85051,32.827,23.9999,16.5765,10.0398,10.484,11.143,9.11276,1.72678,1.88149,4.02108,1.99329,4.49879,1.96235,1.09471,0.611398,0.465876,1.50982,-0.700222,-1.34424
0.208979592,-508.534,2.24471,22.7128,22.1933,21.0154,11.8637,12.3327,8.17012,5.75768,4.44988,5.80669,3.72425,1.76679,3.05945,2.05964,1.54172,-1.06741,1.88868,0.382417,-0.212511,1.23249
