TIME,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0.000000000,0.319197,0.308313,0.297618,0.243611,0.0377505,0.0396667,0.0383979,0.0573399,0.107411,0.433406,0.418205,0.522589
0.100000000,0.386052,0.431435,0.273164,0.296951,0.261455,0.264833,0.133278,0.086552,0.080504,0.192906,0.357005,0.408821
0.200000000,0.38116,0.340439,0.334613,0.355258,0.34904,0.245809,0.169496,0.166954,0.183675,0.261991,0.21749,0.334833
0.300000000,0.219691,0.268307,0.326213,0.44112,0.51397,0.351651,0.287303,0.185358,0.0933149,0.125621,0.135188,0.176796
0.400000000,0.335191,0.233591,0.262598,0.288407,0.276934,0.310304,0.275315,0.300664,0.236539,0.294375,0.276613,0.350208
0.500000000,0.339958,0.245738,0.283649,0.299342,0.269007,0.297049,0.263666,0.290102,0.233555,0.295302,0.28785,0.339247
0.600000000,0.352927,0.230959,0.265392,0.295917,0.31104,0.27487,0.254685,0.290924,0.263817,0.302679,0.289318,0.312059
0.700000000,0.358563,0.240705,0.251026,0.28143,0.326583,0.258176,0.243965,0.289695,0.277277,0.307304,0.296255,0.30893
0.800000000,0.355897,0.290714,0.276633,0.311267,0.355885,0.237837,0.22638,0.268144,0.25108,0.25891,0.29851,0.299761
0.900000000,0.339149,0.316058,0.303579,0.315076,0.359225,0.22252,0.228603,0.241385,0.245729,0.269274,0.305238,0.280191
1.000000000,0.291168,0.308883,0.30218,0.317704,0.356011,0.240413,0.267604,0.260309,0.270089,0.276699,0.304892,0.247345
1.100000000,0.284343,0.255958,0.248832,0.293519,0.329242,0.261702,0.294968,0.290606,0.313449,0.282907,0.320926,0.275566
1.200000000,0.288839,0.263878,0.235245,0.295292,0.330373,0.272894,0.292319,0.295874,0.297945,0.28109,0.316331,0.282745
1.300000000,0.282292,0.305692,0.235871,0.301192,0.378497,0.308552,0.240189,0.265895,0.230195,0.299078,0.312518,0.271205
1.400000000,0.308351,0.311052,0.296506,0.26356,0.341657,0.309676,0.250971,0.264821,0.232661,0.286263,0.288903,0.292401
1.500000000,0.306132,0.300161,0.339041,0.290794,0.313893,0.283763,0.242691,0.272709,0.238287,0.28338,0.276892,0.301005
1.600000000,0.295164,0.281448,0.356308,0.301017,0.323707,0.268067,0.257279,0.266626,0.235061,0.274791,0.263576,0.319272
1.700000000,0.279393,0.283338,0.34445,0.299205,0.345269,0.290596,0.283665,0.267992,0.217188,0.258448,0.253644,0.315032
1.800000000,0.318267,0.260068,0.292988,0.284403,0.303624,0.288551,0.290979,0.272318,0.232125,0.294669,0.295079,0.319819
1.900000000,0.32961,0.264506,0.281079,0.279676,0.305584,0.286696,0.289753,0.27472,0.232218,0.275449,0.302644,0.328291
2.000000000,0.351978,0.249082,0.297632,0.288643,0.298065,0.270954,0.259721,0.286381,0.238058,0.27531,0.293432,0.334475
2.100000000,0.357532,0.247107,0.292342,0.29358,0.285526,0.265634,0.256555,0.300857,0.245012,0.292286,0.281766,0.325853
2.200000000,0.340821,0.306073,0.320413,0.285895,0.297766,0.284448,0.267273,0.285932,0.216999,0.274264,0.23698,0.3233
2.300000000,0.32,0.331507,0.307311,0.295822,0.305471,0.296296,0.27278,0.288246,0.206355,0.248284,0.225193,0.334986
2.400000000,0.287419,0.328226,0.28665,0.308432,0.318554,0.317577,0.291876,0.296816,0.192371,0.247071,0.24412,0.314787
2.500000000,0.307846,0.275657,0.261186,0.304329,0.283056,0.28281,0.293113,0.301195,0.224745,0.317561,0.28702,0.31295
2.600000000,0.320589,0.271783,0.264645,0.309851,0.28128,0.284432,0.294437,0.284429,0.235021,0.319544,0.292178,0.294938
2.700000000,0.304536,0.28253,0.298958,0.344008,0.295514,0.315301,0.297125,0.210285,0.228703,0.300031,0.296449,0.265074
2.800000000,0.323716,0.32402,0.332466,0.330897,0.292375,0.27179,0.270473,0.20379,0.232521,0.281209,0.317957,0.248821
2.900000000,0.328563,0.334137,0.345655,0.327777,0.298154,0.241457,0.260395,0.228902,0.23742,0.268204,0.314364,0.242814
3.000000000,0.331718,0.336518,0.331332,0.321197,0.340107,0.249764,0.258712,0.235569,0.227839,0.240321,0.304578,0.246695
3.100000000,0.323301,0.326128,0.303094,0.316353,0.367262,0.273049,0.290252,0.249455,0.215561,0.21332,0.308659,0.232418
3.200000000,0.325283,0.29265,0.270015,0.286886,0.314135,0.281609,0.292594,0.275752,0.247637,0.276968,0.309227,0.282922
3.300000000,0.312656,0.299226,0.2782,0.29038,0.311118,0.273147,0.289897,0.280163,0.255866,0.292453,0.284703,0.291561
3.400000000,0.329598,0.2587,0.275446,0.295213,0.32038,0.242637,0.285782,0.290317,0.259551,0.294433,0.292242,0.307384
3.500000000,0.340083,0.239584,0.280429,0.298896,0.29462,0.282898,0.262069,0.279518,0.243448,0.317289,0.303597,0.305303
3.600000000,0.327874,0.285543,0.308358,0.332744,0.291867,0.306204,0.223642,0.276724,0.198993,0.31091,0.28143,0.290095
3.700000000,0.334784,0.282627,0.299,0.347404,0.317706,0.318131,0.21653,0.282282,0.208216,0.298566,0.242274,0.279367
3.800000000,0.330592,0.268014,0.292353,0.342577,0.339748,0.315644,0.266495,0.284268,0.216017,0.280458,0.22641,0.269404
3.900000000,0.312545,0.232301,0.257941,0.299247,0.336432,0.31969,0.287469,0.286847,0.244536,0.298522,0.285045,0.286003
4.000000000,0.305227,0.234388,0.252684,0.283615,0.339904,0.319166,0.286328,0.283086,0.248592,0.305827,0.307595,0.279545
4.100000000,0.336817,0.259011,0.256304,0.300016,0.371872,0.326453,0.220149,0.262481,0.214233,0.272919,0.314791,0.286479
4.200000000,0.345028,0.309572,0.309176,0.299298,0.33572,0.317596,0.208153,0.220443,0.227359,0.211891,0.303127,0.325543
4.300000000,0.330762,0.321629,0.332469,0.335209,0.304888,0.286521,0.229748,0.235938,0.237454,0.209854,0.27255,0.32564
4.400000000,0.31814,0.323083,0.339127,0.36529,0.281435,0.269223,0.254034,0.243065,0.226063,0.229769,0.259215,0.315546
4.500000000,0.292301,0.310607,0.308459,0.37233,0.280374,0.292886,0.287839,0.243366,0.244973,0.263329,0.260289,0.284135
4.600000000,0.30247,0.241173,0.242261,0.293694,0.299356,0.293383,0.306568,0.269918,0.285269,0.304536,0.32498,0.288342
4.700000000,0.307632,0.244182,0.238539,0.28106,0.31096,0.284038,0.310306,0.263401,0.281597,0.304555,0.336759,0.285203
4.800000000,0.333213,0.281083,0.274352,0.283868,0.301945,0.224672,0.299656,0.238211,0.26042,0.32221,0.314548,0.308782
4.900000000,0.318398,0.300056,0.286437,0.282357,0.284978,0.234692,0.294148,0.230362,0.265643,0.311824,0.311245,0.325976
5.000000000,0.275636,0.344907,0.305684,0.293886,0.31022,0.261664,0.274024,0.194246,0.273976,0.29086,0.312954,0.300207
5.100000000,0.271284,0.361138,0.320989,0.275839,0.325076,0.26662,0.274839,0.185072,0.273042,0.283754,0.308141,0.283365
5.200000000,0.298541,0.3352,0.31997,0.273937,0.341516,0.287413,0.269505,0.209002,0.269238,0.272292,0.298602,0.264088
5.300000000,0.323797,0.25469,0.257082,0.279069,0.34545,0.266745,0.278219,0.233976,0.322933,0.265895,0.326369,0.286663
5.400000000,0.333609,0.237802,0.234057,0.294548,0.34913,0.281725,0.278693,0.23437,0.323432,0.269274,0.316168,0.282269
5.500000000,0.338448,0.26904,0.203942,0.316581,0.305195,0.315061,0.285231,0.208035,0.306198,0.269961,0.340867,0.267181
5.600000000,0.323303,0.315021,0.229254,0.266368,0.254664,0.314148,0.296331,0.248784,0.306097,0.272723,0.349858,0.262688
5.700000000,0.322352,0.27958,0.236156,0.270394,0.282242,0.304987,0.308333,0.2656,0.30553,0.26775,0.334346,0.271894
5.800000000,0.307305,0.264161,0.243799,0.278755,0.306932,0.297815,0.298888,0.27724,0.316331,0.262483,0.320007,0.2796
