TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0.267746,0.876749,0.342988,0.706105,1.19115,0.756266,0.747788,0.67036,1.59238,0.63962,0.0798616,0.233772
0.464399093,0.755636,0.986552,0.6108,0.648469,0.75428,0.585799,0.591814,0.519168,1.4964,0.495338,0.000865863,0.364571
0.510839002,0.820262,0.836093,0.637952,0.697464,0.616403,0.64171,0.507891,0.499725,1.65502,0.385847,0.001245,0.498082
0.557278912,0.855099,0.724814,0.740481,0.772932,0.493353,0.698504,0.399623,0.511581,1.76758,0.256337,0.00166127,0.68597
0.603718821,0.820092,0.700737,0.702521,0.831721,0.475745,0.665556,0.321829,0.661054,1.82505,0.140333,0.225822,0.719102
0.650158730,0.645188,0.931232,0.657125,0.800348,0.151499,0.800022,0.645999,0.851129,1.2311,0.683798,0.762798,0.217674
0.696598639,0.557747,0.866344,0.544356,0.753591,0.217579,1.00391,0.69986,1.14492,0.384357,0.805916,1.23372,0.176837
0.743038549,0.477048,0.800846,0.303321,0.918249,0.129734,1.13185,0.873281,1.17488,0.291454,0.954734,1.0002,0.0888513
0.789478458,0.285553,0.907287,0.268014,0.91307,0.276176,1.06589,0.996803,1.16337,0.186008,0.867981,1.27394,0.061566
0.835918367,0.33097,0.769546,0.40934,0.532963,0.293728,0.927028,1.04086,1.03592,0.17333,0.605079,1.3916,0.293117
0.882358277,0.883274,0.733464,0.939155,0.333371,0.888058,0.353173,1.53426,0.561123,0.53937,0.0634249,0.879199,0.0630039
0.928798186,0.881618,0.498491,1.02183,0.310367,0.943057,0.330571,1.64571,0.508716,0.581171,0.0550785,1.02154,0.062874
0.975238095,0.814064,0.790503,0.702814,0.375638,0.957526,0.141833,1.19183,0.482978,0.907953,0.112884,0.976263,0.145727
1.021678005,0.560387,1.06441,0.423262,1.28323,0.928183,0.905675,0.735215,0.186859,1.09568,0.12833,0.502719,0.345117
1.068117914,0.613209,0.840029,0.517738,1.29853,0.780333,1.0411,0.848821,0.121843,0.981151,0.0851526,0.408358,0.302141
1.114557823,0.284443,0.568952,0.262935,0.795082,0.628977,0.481095,1.13278,0.906809,0.455119,0.226819,0.899433,0.282942
1.160997732,0.147427,0.337766,0.28663,0.628915,0.189554,0.251687,1.27527,1.38447,0.146568,0.329853,0.966327,0.439868
1.207437642,0.0160066,0.2038,0.300856,0.729044,0.0810623,0.515413,1.35433,1.34772,0.131299,0.276877,0.992578,0.54828
1.253877551,0.129131,0.223707,0.243812,0.708725,0.00925859,0.617266,1.38588,1.21634,0.127493,0.266359,0.988461,0.75871
1.300317460,0.000138999,0.324227,0.184024,0.736287,0.00418721,0.489607,1.45849,1.28511,0.110483,0.313816,0.951764,0.982907
1.346757370,0.00322599,0.338111,0.180085,0.845457,0,0.413006,1.366,1.1468,0.0571034,0.417494,0.947941,1.30597
1.393197279,0.000261091,0.207082,0.577566,0.995802,0.568324,0.306013,0.617028,1.03507,0.151578,0.220808,0.727603,1.46651
1.439637188,0.246736,0.589327,0.953021,0.912974,0.302964,0.383127,0.442738,0.979829,0.216867,0.0555203,0.278643,1.29373
1.486077098,0.0923216,0.34761,0.590289,0.69555,0.607672,0.925361,0.904797,0.904228,0.278031,0.0723119,0.387822,1.22778
1.532517007,0.00204517,0.95207,0.548222,0.873104,1.493,0.970214,0.444538,0.346099,0.840634,0.0408274,1.51927,0.0985391
1.578956916,0.0164312,1.10162,0.6023,0.981715,1.79914,0.804675,0.224391,0.472699,0.802875,0.00430582,1.44081,4.57901e-05
1.625396825,0.0679907,1.12891,0.652402,1.07085,1.85349,0.701802,0.180775,0.617463,0.563941,0.00553428,1.41127,5.54998e-05
1.671836735,0.0905181,0.930288,0.804939,0.764345,2.04083,1.02269,0.263471,0.478036,0.475878,0.0189586,1.43122,0.0756307
1.718276644,0.177786,0.710443,0.739175,0.38488,1.98875,1.02559,0.45609,0.424453,0.494362,0.112717,1.33072,0.24116
1.764716553,0.292319,0.730488,0.665748,0.408893,1.89353,1.08762,0.495538,0.482885,0.475137,0.0970002,1.17905,0.339152
1.811156463,1.02567,0.718397,0.117685,0.32289,1.41928,1.22356,0.617349,0.637583,0.408467,0.14017,0.95393,0.00221885
1.857596372,1.42088,0.203929,0.0527777,0.810467,0.494016,0.58316,1.15712,1.01838,0.276635,0.26662,0.572637,0.0255873
